node,system,frequency,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16
BL55,body,1,-0.847109,0.326655,0.498740,0.410520,0.779534,0.081386,0.184379,0.543941,0.219424,0.174838,0.001661,-0.030815,-0.387861,-0.007809,0.144761,0.137019
BL56,body,1,-0.813277,0.421967,0.115098,0.441291,0.640164,-0.320512,0.151684,0.760091,0.289673,0.223562,0.045926,0.232014,-0.301146,-0.150448,0.144522,0.299286
BL58,body,1,-0.789742,0.742506,0.368996,0.520694,0.557209,0.156746,0.328402,0.805957,0.392585,0.122739,-0.087350,0.023421,-0.430252,0.046948,0.052342,0.546008
BL59,body,1,-0.725920,0.425055,0.111635,0.311288,0.707921,-0.188257,0.385019,0.750586,0.461315,0.408200,0.049833,-0.053182,-0.379022,0.143510,-0.024148,0.109415
BL6,body,1,-0.671740,0.474941,0.046114,0.419654,0.579862,0.048149,0.124166,0.711142,0.163928,0.596529,-0.044036,0.003113,-0.423015,0.192254,0.042978,0.423942
BL61,body,1,-0.744784,0.382504,-0.034897,0.508387,0.739531,0.024022,0.321705,0.518966,0.646075,0.187532,0.092670,0.016794,-0.426096,-0.013822,0.079138,0.055820
BL63,body,1,-0.380596,0.495867,0.209686,0.397316,0.856458,-0.185122,0.142564,0.797146,0.363982,0.288562,-0.035260,-0.307920,-0.269226,-0.027192,-0.016976,0.219158
BL64,body,1,-0.899627,0.571586,0.469181,0.405781,0.703161,0.169702,0.231811,0.768804,0.295535,0.171849,-0.000287,-0.000584,-0.327330,-0.123749,0.082752,0.143562
BL65,body,1,-0.513922,0.380343,0.437658,0.267752,0.505328,-0.211830,0.370647,0.642550,0.236824,0.559196,-0.098599,0.158441,-0.379155,0.165171,0.002768,0.338921
BL66,body,1,-0.627629,0.472783,0.506210,0.441888,0.613104,0.089776,0.026463,0.792893,0.475625,0.407969,-0.143737,0.163470,-0.412209,0.052738,0.202588,0.074627
BL67,body,1,-0.879323,0.319684,0.240529,0.398462,0.901398,-0.062772,0.402513,0.909173,0.268742,0.243718,0.137340,-0.087870,-0.330436,0.105684,-0.287637,0.207755
BL7,body,1,-0.652652,0.202008,0.344513,0.151959,0.937774,0.343343,0.491699,0.476811,0.310298,0.152100,-0.067469,0.282438,-0.162342,0.163573,0.230380,0.306776
BL8,body,1,-0.913069,0.309065,0.513876,0.289084,0.973116,0.209316,0.304940,0.746487,0.169870,0.098626,0.151682,-0.116074,-0.409760,0.140886,-0.137662,0.286769
BL9,body,1,-0.792348,0.454303,0.319607,0.600037,0.556825,0.086902,0.018201,0.606154,0.456864,0.146947,-0.081509,0.016273,-0.386055,-0.011225,0.107902,0.489970
CV13,body,1,0.244667,-0.250161,0.361089,0.385224,0.597746,-0.043818,0.112782,-0.939142,0.585818,0.388178,0.324283,0.660973,-0.840848,-0.283147,0.436228,0.989249
CV14,body,1,-0.136806,-0.043549,0.056150,0.533745,0.647777,-0.149076,0.040778,-0.470721,0.533016,0.062106,0.031461,0.771097,-0.365266,-0.043459,0.843649,0.587758
CV15,body,1,-0.026081,-0.077626,0.086270,0.561107,0.809284,-0.046043,0.202750,-0.302819,0.451450,-0.091011,-0.027664,0.872077,-0.188977,0.088366,1.057543,0.856169
CV17,body,1,-0.135979,0.184883,0.252887,0.410512,0.720849,-0.345494,0.128297,0.048159,0.699285,-0.266667,0.113572,0.793323,-0.244272,0.029610,0.932768,0.752058
