paper_no,first_author,year,original_acupoint,standard_acupoint,system,action,reason
19,Xia XF,2012,GV9,GV9,body,keep,표준 체침 경혈 코드
19,Xia XF,2012,GV10,GV10,body,keep,표준 체침 경혈 코드
19,Xia XF,2012,GV11,GV11,body,keep,표준 체침 경혈 코드
19,Xia XF,2012,GV14,GV14,body,keep,표준 체침 경혈 코드
19,Xia XF,2012,GV16,GV16,body,keep,표준 체침 경혈 코드
19,Xia XF,2012,GV17,GV17,body,keep,표준 체침 경혈 코드
19,Xia XF,2012,GV24,GV24,body,keep,표준 체침 경혈 코드
19,Xia XF,2012,GV26,GV26,body,keep,표준 체침 경혈 코드
19,Xia XF,2012,CV6,CV6,body,keep,표준 체침 경혈 코드
19,Xia XF,2012,CV12,CV12,body,keep,표준 체침 경혈 코드
19,Xia XF,2012,CV14,CV14,body,keep,표준 체침 경혈 코드
19,Xia XF,2012,CV15,CV15,body,keep,표준 체침 경혈 코드
19,Xia XF,2012,CV17,CV17,body,keep,표준 체침 경혈 코드
19,Xia XF,2012,CV24,CV24,body,keep,표준 체침 경혈 코드
19,Xia XF,2012,Yintang,YINTANG,body,map,명명된 체침/기혈 표준화
20,Xiong JW,2011,GV20,GV20,body,keep,표준 체침 경혈 코드
20,Xiong JW,2011,HT7,HT7,body,keep,표준 체침 경혈 코드
20,Xiong JW,2011,SP6,SP6,body,keep,표준 체침 경혈 코드
20,Xiong JW,2011,LI10,LI10,body,keep,표준 체침 경혈 코드
20,Xiong JW,2011,ST36,ST36,body,keep,표준 체침 경혈 코드
20,Xiong JW,2011,BL2,BL2,body,keep,표준 체침 경혈 코드
20,Xiong JW,2011,PC6,PC6,body,keep,표준 체침 경혈 코드
20,Xiong JW,2011,TE17,TE17,body,keep,표준 체침 경혈 코드
21,Xuan YB,2007,GV20,GV20,body,keep,표준 체침 경혈 코드
21,Xuan YB,2007,HT7,HT7,body,keep,표준 체침 경혈 코드
21,Xuan YB,2007,SP6,SP6,body,keep,표준 체침 경혈 코드
21,Xuan YB,2007,GV24,GV24,body,keep,표준 체침 경혈 코드
21,Xuan YB,2007,Sishencong,SISHENCONG,body,map,명명된 체침/기혈 표준화
22,Yao W,2014,GV20,GV20,body,keep,표준 체침 경혈 코드
22,Yao W,2014,HT7,HT7,body,keep,표준 체침 경혈 코드
22,Yao W,2014,SP6,SP6,body,keep,표준 체침 경혈 코드
22,Yao W,2014,BL62,BL62,body,keep,표준 체침 경혈 코드
22,Yao W,2014,KI6,KI6,body,keep,표준 체침 경혈 코드
22,Yao W,2014,PC6,PC6,body,keep,표준 체침 경혈 코드
22,Yao W,2014,LR3,LR3,body,keep,표준 체침 경혈 코드
22,Yao W,2014,Anmian,ANMIAN,body,map,명명된 체침/기혈 표준화
22,Yao W,2014,Sishencong,SISHENCONG,body,map,명명된 체침/기혈 표준화
22,Yao W,2014,Taiyang,TAIYANG,body,map,명명된 체침/기혈 표준화
22,Yao W,2014,Yintang,YINTANG,body,map,명명된 체침/기혈 표준화
23,Yeung WF,2009,GV20,GV20,body,keep,표준 체침 경혈 코드
23,Yeung WF,2009,Anmian,ANMIAN,body,map,명명된 체침/기혈 표준화
23,Yeung WF,2009,Sishencong,SISHENCONG,body,map,명명된 체침/기혈 표준화
23,Yeung WF,2009,Yintang,YINTANG,body,map,명명된 체침/기혈 표준화
23,Yeung WF,2009,Ear points: shenmen,EAR_SHENMEN,ear,map,이침 경혈 표준화
24,You L,2010,GV20,GV20,body,keep,표준 체침 경혈 코드
24,You L,2010,HT7,HT7,body,keep,표준 체침 경혈 코드
24,You L,2010,SP6,SP6,body,keep,표준 체침 경혈 코드
24,You L,2010,LI10,LI10,body,keep,표준 체침 경혈 코드
24,You L,2010,ST36,ST36,body,keep,표준 체침 경혈 코드
24,You L,2010,BL2,BL2,body,keep,표준 체침 경혈 코드
24,You L,2010,PC6,PC6,body,keep,표준 체침 경혈 코드
24,You L,2010,TE17,TE17,body,keep,표준 체침 경혈 코드
24,You L,2010,Ear points: heart,EAR_HEART,ear,map,이침 경혈 표준화
24,You L,2010,kidney,EAR_KIDNEY,ear,map,이침 경혈 표준화
24,You L,2010,shenmen,EAR_SHENMEN,ear,map,이침 경혈 표준화
24,You L,2010,spleen,EAR_SPLEEN,ear,map,이침 경혈 표준화
24,You L,2010,sympathetic,EAR_SYMPATHETIC,ear,map,이침 경혈 표준화
25,Yu DS,2012,HT7,HT7,body,keep,표준 체침 경혈 코드
25,Yu DS,2012,BL15,BL15,body,keep,표준 체침 경혈 코드
25,Yu DS,2012,BL23,BL23,body,keep,표준 체침 경혈 코드
25,Yu DS,2012,KI1,KI1,body,keep,표준 체침 경혈 코드
25,Yu DS,2012,KI3,KI3,body,keep,표준 체침 경혈 코드
25,Yu DS,2012,PC6,PC6,body,keep,표준 체침 경혈 코드
25,Yu DS,2012,moxa:KI1,KI1,body,map,치료 방식 접두사 제거
26,Yu F,2010,GV20,GV20,body,keep,표준 체침 경혈 코드
26,Yu F,2010,HT7,HT7,body,keep,표준 체침 경혈 코드
26,Yu F,2010,SP6,SP6,body,keep,표준 체침 경혈 코드
26,Yu F,2010,BL62,BL62,body,keep,표준 체침 경혈 코드
26,Yu F,2010,KI6,KI6,body,keep,표준 체침 경혈 코드
26,Yu F,2010,PC6,PC6,body,keep,표준 체침 경혈 코드
26,Yu F,2010,Anmian,ANMIAN,body,map,명명된 체침/기혈 표준화
26,Yu F,2010,Sishencong,SISHENCONG,body,map,명명된 체침/기혈 표준화
26,Yu F,2010,Yintang,YINTANG,body,map,명명된 체침/기혈 표준화
26,Yu F,2010,Ear points: heart,EAR_HEART,ear,map,이침 경혈 표준화
26,Yu F,2010,kidney,EAR_KIDNEY,ear,map,이침 경혈 표준화
26,Yu F,2010,liver,EAR_LIVER,ear,map,이침 경혈 표준화
26,Yu F,2010,shenmen,EAR_SHENMEN,ear,map,이침 경혈 표준화
26,Yu F,2010,spleen,EAR_SPLEEN,ear,map,이침 경혈 표준화
26,Yu F,2010,subcortex,EAR_SUBCORTEX,ear,map,이침 경혈 표준화
26,Yu F,2010,sympathetic,EAR_SYMPATHETIC,ear,map,이침 경혈 표준화
27,Zhang HY,2013,GV20,GV20,body,keep,표준 체침 경혈 코드
27,Zhang HY,2013,HT7,HT7,body,keep,표준 체침 경혈 코드
27,Zhang HY,2013,PC6,PC6,body,keep,표준 체침 경혈 코드
27,Zhang HY,2013,Sishencong,SISHENCONG,body,map,명명된 체침/기혈 표준화
28,Zhu MM,2012,GV20,GV20,body,keep,표준 체침 경혈 코드
28,Zhu MM,2012,HT7,HT7,body,keep,표준 체침 경혈 코드
28,Zhu MM,2012,CV4,CV4,body,keep,표준 체침 경혈 코드
28,Zhu MM,2012,CV6,CV6,body,keep,표준 체침 경혈 코드
28,Zhu MM,2012,CV10,CV10,body,keep,표준 체침 경혈 코드
28,Zhu MM,2012,CV12,CV12,body,keep,표준 체침 경혈 코드
28,Zhu MM,2012,Yintang,YINTANG,body,map,명명된 체침/기혈 표준화
28,Zhu MM,2012,Ear points: shenmen,EAR_SHENMEN,ear,map,이침 경혈 표준화
28,Zhu MM,2012,sympathetic,EAR_SYMPATHETIC,ear,map,이침 경혈 표준화
28,Zhu MM,2012,occiput,EAR_OCCIPUT,ear,map,이침 경혈 표준화
28,Zhu MM,2012,brain,EAR_BRAIN,ear,map,이침 경혈 표준화
28,Zhu MM,2012,hypothysis,EAR_HYPOPHYSIS,ear,map,이침 경혈 표준화
29,Wang YY,2015,GV20,GV20,body,keep,표준 체침 경혈 코드
29,Wang YY,2015,HT7,HT7,body,keep,표준 체침 경혈 코드
29,Wang YY,2015,SP6,SP6,body,keep,표준 체침 경혈 코드
29,Wang YY,2015,PC6,PC6,body,keep,표준 체침 경혈 코드
29,Wang YY,2015,BL13,BL13,body,keep,표준 체침 경혈 코드
29,Wang YY,2015,BL15,BL15,body,keep,표준 체침 경혈 코드
29,Wang YY,2015,BL18,BL18,body,keep,표준 체침 경혈 코드
29,Wang YY,2015,BL20,BL20,body,keep,표준 체침 경혈 코드
29,Wang YY,2015,BL23,BL23,body,keep,표준 체침 경혈 코드
29,Wang YY,2015,BL24,BL24,body,keep,표준 체침 경혈 코드
29,Wang YY,2015,BL26,BL26,body,keep,표준 체침 경혈 코드
29,Wang YY,2015,BL62,BL62,body,keep,표준 체침 경혈 코드
29,Wang YY,2015,Yintang,YINTANG,body,map,명명된 체침/기혈 표준화
29,Wang YY,2015,ST25,ST25,body,keep,표준 체침 경혈 코드
29,Wang YY,2015,KI6,KI6,body,keep,표준 체침 경혈 코드
1,Chung,2015,EX-HN3,EX-HN3,body,keep,표준 체침 경혈 코드
1,Chung,2015,GV20,GV20,body,keep,표준 체침 경혈 코드
1,Chung,2015,Ear Shenmen(bilateral),EAR_SHENMEN,ear,map,이침 경혈 표준화
1,Chung,2015,EX-HN1(EX-HN2은 논문 오타인듯),EX-HN1,body,map,논문 오타 주석 제거
1,Chung,2015,PC6,PC6,body,keep,표준 체침 경혈 코드
1,Chung,2015,SP6,SP6,body,keep,표준 체침 경혈 코드
1,Chung,2015,EX-HN22,EX-HN22,body,keep,표준 체침 경혈 코드
2,Chung,2018,EX-HN1,EX-HN1,body,keep,표준 체침 경혈 코드
2,Chung,2018,EX-HN22,EX-HN22,body,keep,표준 체침 경혈 코드
2,Chung,2018,PC6,PC6,body,keep,표준 체침 경혈 코드
2,Chung,2018,HT7,HT7,body,keep,표준 체침 경혈 코드
2,Chung,2018,SP6,SP6,body,keep,표준 체침 경혈 코드
2,Chung,2018,Ear Shenmen,EAR_SHENMEN,ear,map,이침 경혈 표준화
2,Chung,2018,EX-HN3(unilaterally),EX-HN3,body,map,체침 경혈 코드 표준화
2,Chung,2018,GV20,GV20,body,keep,표준 체침 경혈 코드
3,Dong,2018,EX-HN3,EX-HN3,body,keep,표준 체침 경혈 코드
3,Dong,2018,GV20,GV20,body,keep,표준 체침 경혈 코드
3,Dong,2018,DU14,GV14,body,map,체침 경혈 코드 표준화
4,Fu,2017,BL23(bilateral),BL23,body,map,체침 경혈 코드 표준화
4,Fu,2017,BL18(bilateral),BL18,body,map,체침 경혈 코드 표준화
4,Fu,2017,LR14(unilateral),LR14,body,map,체침 경혈 코드 표준화
4,Fu,2017,GB25(unilateral),GB25,body,map,체침 경혈 코드 표준화
5,Guo,2017,GV20,GV20,body,keep,표준 체침 경혈 코드
5,Guo,2017,DU24,GV24,body,map,체침 경혈 코드 표준화
5,Guo,2017,EX-HN1,EX-HN1,body,keep,표준 체침 경혈 코드
5,Guo,2017,BG13,BG13,body,keep,표준 체침 경혈 코드
5,Guo,2017,HT7,HT7,body,keep,표준 체침 경혈 코드
5,Guo,2017,PC6,PC6,body,keep,표준 체침 경혈 코드
5,Guo,2017,SP6,SP6,body,keep,표준 체침 경혈 코드
6,Lo,2013,(Ear) Shenmen,EAR_SHENMEN,ear,map,이침 경혈 표준화
6,Lo,2013,Heart,EAR_HEART,ear,map,이침 경혈 표준화
6,Lo,2013,Kidney,EAR_KIDNEY,ear,map,이침 경혈 표준화
6,Lo,2013,Spleen,EAR_SPLEEN,ear,map,이침 경혈 표준화
6,Lo,2013,Liver,EAR_LIVER,ear,map,이침 경혈 표준화
6,Lo,2013,Subcortex,EAR_SUBCORTEX,ear,map,이침 경혈 표준화
6,Lo,2013,Occiput,EAR_OCCIPUT,ear,map,이침 경혈 표준화
7,Luo,2017,GV20(bilateral),GV20,body,map,체침 경혈 코드 표준화
7,Luo,2017,EX-HN3,EX-HN3,body,keep,표준 체침 경혈 코드
7,Luo,2017,LI4,LI4,body,keep,표준 체침 경혈 코드
7,Luo,2017,LR3,LR3,body,keep,표준 체침 경혈 코드
7,Luo,2017,HT7,HT7,body,keep,표준 체침 경혈 코드
7,Luo,2017,SP6,SP6,body,keep,표준 체침 경혈 코드
7,Luo,2017,EX-HN22,EX-HN22,body,keep,표준 체침 경혈 코드
7,Luo,2017,BL18,BL18,body,keep,표준 체침 경혈 코드
7,Luo,2017,BL15,BL15,body,keep,표준 체침 경혈 코드
8,Yeung,2009,EX-HN3,EX-HN3,body,keep,표준 체침 경혈 코드
8,Yeung,2009,GV20,GV20,body,keep,표준 체침 경혈 코드
8,Yeung,2009,Ear Shenmen(bilateral),EAR_SHENMEN,ear,map,이침 경혈 표준화
8,Yeung,2009,EX-HN1,EX-HN1,body,keep,표준 체침 경혈 코드
8,Yeung,2009,EX-HN22,EX-HN22,body,keep,표준 체침 경혈 코드
9,Yeung,2011,EX-HN3,EX-HN3,body,keep,표준 체침 경혈 코드
9,Yeung,2011,GV20,GV20,body,keep,표준 체침 경혈 코드
9,Yeung,2011,Ear Shenmen(bilateral),EAR_SHENMEN,ear,map,이침 경혈 표준화
